team,opr,oprp,autoCargoLower,autoCargoUpper,teleopCargoLower,teleopCargoUpper,quintet,taxi,climb,penalty,
0,2.146,-1.481,1.609,1.846,0.832,-2.579,0.196,0.096,0.147,3.627,
100,7.541,3.939,0.781,0.140,2.152,0.563,-0.024,1.195,2.733,3.603,
230,9.177,3.124,1.050,0.709,0.185,2.031,0.481,0.375,4.346,6.052,
797,19.851,19.789,0.705,1.204,4.362,3.127,0.471,0.616,9.366,0.061,
909,9.441,5.290,1.070,1.447,0.732,2.335,0.344,1.629,1.885,4.152,
929,7.607,1.618,0.116,1.690,0.438,2.634,0.362,1.130,1.237,5.988,
972,12.377,6.496,0.064,0.127,4.296,1.929,0.311,-0.198,5.847,5.881,
1165,14.154,12.893,0.940,0.017,3.213,1.446,0.340,0.809,7.388,1.261,
1957,6.607,1.734,0.559,0.662,1.222,2.438,0.233,1.602,-0.109,4.874,
2032,13.094,5.035,0.870,0.550,2.347,2.128,0.362,-0.079,6.916,8.059,
2130,11.922,5.085,0.257,0.582,1.363,2.294,0.110,0.138,7.178,6.837,
2217,16.773,13.799,0.936,0.809,1.190,2.116,0.359,0.736,10.627,2.974,
2358,14.695,10.002,0.972,1.161,1.796,1.234,0.267,1.069,8.197,4.693,
2798,14.265,12.177,0.535,0.564,2.973,1.483,0.215,1.282,7.213,2.088,
2939,13.502,14.246,0.726,0.700,2.073,1.654,0.123,0.701,7.526,-0.744,
3014,13.131,10.140,0.281,0.458,2.733,2.317,0.574,2.453,4.315,2.991,
3150,13.353,13.827,1.137,-0.113,1.704,1.489,0.181,1.561,7.393,-0.474,
3183,11.928,9.242,0.517,0.357,2.701,0.889,0.164,0.589,6.711,2.686,
3409,14.240,7.479,0.645,0.362,2.555,2.137,0.476,1.094,6.971,6.761,
3746,16.170,10.120,0.973,0.470,2.403,1.907,-0.156,-0.774,11.347,6.049,
5368,10.933,8.035,0.337,0.100,0.821,1.476,0.386,1.561,6.250,2.898,
5646,18.389,16.848,1.105,0.776,1.938,2.997,0.420,1.948,9.204,1.542,
5819,12.192,10.857,0.773,0.586,0.414,1.952,0.268,1.931,6.268,1.335,
6459,13.552,8.265,1.037,0.992,2.264,1.929,0.490,0.235,6.606,5.287,
7362,13.536,10.505,0.769,0.508,1.662,2.251,0.269,0.900,7.177,3.031,
7924,14.065,13.741,0.953,1.027,2.013,3.097,-0.056,0.868,6.164,0.324,
8143,17.342,18.256,0.847,1.179,0.743,1.100,-0.195,1.799,11.869,-0.914,
8178,13.908,10.209,0.930,0.080,2.644,1.790,0.031,0.478,7.954,3.699,
8591,13.295,11.919,0.713,-0.633,3.946,3.015,0.237,0.123,5.894,1.377,
8716,16.812,18.456,0.962,0.841,1.292,2.655,0.225,0.858,9.979,-1.644,
8873,10.707,10.441,1.097,0.886,1.668,1.627,0.395,1.951,3.081,0.265,
8912,13.976,8.940,0.337,0.599,1.865,2.301,0.229,0.617,8.028,5.036,
9047,12.515,9.242,0.483,0.390,2.941,1.569,-0.019,1.177,5.974,3.273,
9846,23.507,17.391,0.599,1.202,3.138,3.116,0.480,1.006,13.967,6.116,
9967,17.482,13.439,0.479,0.665,1.225,6.256,0.332,1.475,7.050,4.042,
